prompt,corrupted_prompt,answer
Solve the following and respond with only the final answer: 56+61=,Solve the following and respond with only the final answer: 56+39=,117
Solve the following and respond with only the final answer: What is 50 plus 96?,Solve the following and respond with only the final answer: What is 50 plus 48?,146
Solve the following and respond with only the final answer: What is 51 plus 63?,Solve the following and respond with only the final answer: What is 51 plus 81?,114
Solve the following and respond with only the final answer: 14+88=,Solve the following and respond with only the final answer: 14+37=,102
Solve the following and respond with only the final answer: 62+77=,Solve the following and respond with only the final answer: 62+83=,139
Solve the following and respond with only the final answer: 41+39=,Solve the following and respond with only the final answer: 41+53=,80
Solve the following and respond with only the final answer: What is 18 plus 73?,Solve the following and respond with only the final answer: What is 18 plus 81?,91
Solve the following and respond with only the final answer: What is 89 plus 36?,Solve the following and respond with only the final answer: What is 89 plus 98?,125
Solve the following and respond with only the final answer: 45+37=,Solve the following and respond with only the final answer: 45+55=,82
Solve the following and respond with only the final answer: 77+54=,Solve the following and respond with only the final answer: 77+81=,131
Solve the following and respond with only the final answer: 67+40=,Solve the following and respond with only the final answer: 67+26=,107
Solve the following and respond with only the final answer: 42+25=,Solve the following and respond with only the final answer: 42+33=,67
Solve the following and respond with only the final answer: What is 44 plus 83?,Solve the following and respond with only the final answer: What is 44 plus 34?,127
